"","x"
"1",0.884461010319827
"2",0.887541961777187
"3",0.870826378466845
"4",0.860279009464788
"5",0.884238895275057
"6",0.851409052706434
"7",0.857357023781334
"8",0.848129684542312
"9",0.86088108750263
"10",0.861540083777092
"11",0.865973841102235
"12",0.832243912046467
"13",0.861078351501506
"14",0.816635119548944
"15",0.862414851248261
"16",0.824371112538442
"17",0.838321519591357
"18",0.822918938043684
"19",0.860175927151486
"20",0.826085947061794
"21",0.878436791630409
"22",0.866521426847507
"23",0.883658904664369
"24",0.851992231542751
"25",0.880431496927759
"26",0.82656348553969
"27",0.847383953979069
"28",0.836256647078626
"29",0.857236561680058
"30",0.849026198441521
"31",0.85648534271169
"32",0.862493693156982
"33",0.835863446640704
"34",0.84908390472743
"35",0.829423830283495
"36",0.845746588845704
"37",0.852078738594918
"38",0.855050382047053
"39",0.857844748759925
"40",0.831666178495294
"41",0.869060491475509
"42",0.846847945452524
"43",0.852581566793604
"44",0.87419878467141
"45",0.877257812020818
"46",0.846045431487851
"47",0.878487753601828
"48",0.823333887157342
"49",0.852116147076004
"50",0.896328591161997
"51",0.893371847684732
"52",0.817120521367774
"53",0.868864814610688
"54",0.83834655050044
"55",0.850958755889395
"56",0.868968876535661
"57",0.841967082451284
"58",0.809289218479437
"59",0.861660493384687
"60",0.827441969667345
"61",0.845793601598543
"62",0.871970141404872
"63",0.839229055182857
"64",0.825865113226017
"65",0.804883259103989
"66",0.787887933506844
"67",0.849348832932346
"68",0.853984597833345
"69",0.849176379444426
"70",0.819793374530955
"71",0.825603733019324
"72",0.830370318450867
"73",0.858543112248158
"74",0.884858556050043
"75",0.84524454933359
"76",0.837206972606413
"77",0.868741470894098
"78",0.898981933990642
"79",0.851973665647931
"80",0.860273140276391
"81",0.859531366751817
"82",0.831346923225035
"83",0.849117251376708
"84",0.871298199899445
"85",0.848315456832041
"86",0.832234449014856
"87",0.879764937227289
"88",0.87002418446571
"89",0.835986851727342
"90",0.834972813522086
"91",0.823612617010954
"92",0.847296909442396
"93",0.823420838359868
"94",0.848025719142222
"95",0.867819990226849
"96",0.83236855520217
"97",0.845099914952732
"98",0.847627924294408
"99",0.848323805514142
"100",0.882976557766557
"101",0.893749409716123
"102",0.870170014340468
"103",0.895402832294738
"104",0.814337006732927
"105",0.85069775996765
"106",0.854397086799513
"107",0.865495691526147
"108",0.861505941552246
"109",0.838042875341555
"110",0.887894057812643
"111",0.85947062530221
"112",0.858395232331306
"113",0.792075884834525
"114",0.845533187669344
"115",0.852778012671198
"116",0.843383488975701
"117",0.81703519737926
"118",0.845295093455448
"119",0.863518321613197
"120",0.889512456947285
"121",0.85603382546082
"122",0.867267597176138
"123",0.875588416268546
"124",0.856707341037676
"125",0.857894023130858
"126",0.838675589719062
"127",0.84630251936995
"128",0.870470836444054
"129",0.838850432064474
"130",0.880629085121206
"131",0.851632867922645
"132",0.866245451683221
"133",0.863404748256979
"134",0.858770408412038
"135",0.821259167822027
"136",0.867687799518227
"137",0.834950211550959
"138",0.860903991038693
"139",0.86027929968927
"140",0.874912838702994
"141",0.882658157397976
"142",0.856355461094429
"143",0.866109470458588
"144",0.857125155295943
"145",0.824392979436042
"146",0.86595045248632
"147",0.847388462986284
"148",0.880315091392211
"149",0.883090520162108
"150",0.813060778548901
"151",0.849284443849678
"152",0.867986099925631
"153",0.845476979034751
"154",0.858997576591581
"155",0.841500027446785
"156",0.869212116366219
"157",0.835611783497988
"158",0.790804820067132
"159",0.881020674909582
"160",0.82605722614798
"161",0.847038858885432
"162",0.857182047366665
"163",0.828992817458408
"164",0.829723508271626
"165",0.808769441251923
"166",0.895404158545742
"167",0.833306892380445
"168",0.864053518678905
"169",0.900254393935728
"170",0.830594460780318
"171",0.818064567144049
"172",0.874473371585336
"173",0.895789488463098
"174",0.864540576967714
"175",0.86422946449393
"176",0.819322680142108
"177",0.870030256473288
"178",0.817478154911273
"179",0.856645457418079
"180",0.846051737061398
"181",0.814516149542755
"182",0.850580958345995
"183",0.867132516508819
"184",0.832241236869939
"185",0.862573456538107
"186",0.849120994733299
"187",0.858125276681284
"188",0.896035433971771
"189",0.866664376443941
"190",0.856901333642836
"191",0.837091825468459
"192",0.835921350114356
"193",0.830677561744899
"194",0.85646387728313
"195",0.859100377551334
"196",0.827593234928022
"197",0.862397399436538
"198",0.865799652358103
"199",0.891356329780307
"200",0.881828078725174
"201",0.849649789608965
"202",0.858628290320347
"203",0.850933377167702
"204",0.86429017346233
"205",0.866284446285721
"206",0.848635738254825
"207",0.839160856391594
"208",0.788281197916232
"209",0.857903343934337
"210",0.872427221410617
"211",0.86560156219291
"212",0.861602565977524
"213",0.872236742620819
"214",0.834501457071688
"215",0.827095425775244
"216",0.832865362853673
"217",0.875319865135912
"218",0.85821050483341
"219",0.864061277561183
"220",0.843685112979581
"221",0.816084249488968
"222",0.825809016660981
"223",0.872431255692355
"224",0.808986551341662
"225",0.859919109943482
"226",0.856218789879973
"227",0.837327805779325
"228",0.881986793601023
"229",0.820210116711805
"230",0.86215492196738
"231",0.846316744216352
"232",0.834255653710956
"233",0.834378693169993
"234",0.900701548323867
"235",0.853753078992868
"236",0.858367936665633
"237",0.832071524184302
"238",0.831694131572296
"239",0.873324521894257
"240",0.88305225262281
"241",0.837614713681543
"242",0.862599671249308
"243",0.82585866272249
"244",0.827310921104457
"245",0.840119227206712
"246",0.842927082821111
"247",0.854353676420071
"248",0.816713105695979
"249",0.866410637747389
"250",0.856945070067399
"251",0.849466093474952
"252",0.850641514304799
"253",0.870767115603059
"254",0.871471731244898
"255",0.820476025785924
"256",0.887461296922528
"257",0.872761945026034
"258",0.826360351736139
"259",0.826071682142443
"260",0.856550398475062
"261",0.837117431582835
"262",0.842538543089061
"263",0.85433481793401
"264",0.883650005896178
"265",0.84614863848163
"266",0.842423812414439
"267",0.83621131608485
"268",0.857362459909033
"269",0.865024302948212
"270",0.845095564586137
"271",0.864363243973655
"272",0.855582810819062
"273",0.862943699182233
"274",0.83706818671151
"275",0.866132498282389
"276",0.871881475828445
"277",0.848595969084829
"278",0.838697640780064
"279",0.854899806818898
"280",0.852148540010881
"281",0.8598536112735
"282",0.818456322574959
"283",0.884974969330712
"284",0.844974383491908
"285",0.819306994178503
"286",0.851557949579705
"287",0.835107158249329
"288",0.862686478227775
"289",0.861900064719272
"290",0.851160987764188
"291",0.850364646595122
"292",0.843483902728344
"293",0.841638571781045
"294",0.847041638933366
"295",0.810910548814788
"296",0.843945769874513
"297",0.865664617852998
"298",0.870336478217247
"299",0.866821840615219
"300",0.827695581249843
"301",0.888826197083846
"302",0.844390400937119
"303",0.82892332929952
"304",0.810002968835579
"305",0.808499050614641
"306",0.865423284701998
"307",0.835568592620523
"308",0.878883463536461
"309",0.860064650838031
"310",0.829519478043007
"311",0.827066762242161
"312",0.840940059965444
"313",0.874361115092452
"314",0.811595727161086
"315",0.824151918801805
"316",0.854311267910493
"317",0.832187673694505
"318",0.826912782932889
"319",0.866739917163831
"320",0.886325387553161
"321",0.834801937095889
"322",0.851455799306165
"323",0.836784987299181
"324",0.866472766099623
"325",0.796236886835354
"326",0.8586396906944
"327",0.866442770016122
"328",0.849429839308208
"329",0.839457406729479
"330",0.829229372052816
"331",0.869598391019817
"332",0.843257290673694
"333",0.866101134064852
"334",0.859052252124625
"335",0.844292231421072
"336",0.873235620914521
"337",0.802143259845391
"338",0.837404446203826
"339",0.862642079586842
"340",0.836838606418959
"341",0.863082969062073
"342",0.835073004772662
"343",0.846647176377461
"344",0.872525563071733
"345",0.81412104889985
"346",0.850522404770992
"347",0.872073009515617
"348",0.892997239658459
"349",0.874613880082827
"350",0.864888192071185
"351",0.846506447346463
"352",0.848260916502577
"353",0.847669805295822
"354",0.842789371821947
"355",0.854129634404749
"356",0.845127467727242
"357",0.86906676398481
"358",0.834212305002056
"359",0.842631418237711
"360",0.871185513084619
"361",0.863732370671183
"362",0.854352492469373
"363",0.835261962079385
"364",0.878512784826649
